"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  $","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  $","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
1.,"Now foods | Vitamina D-3 400 IU 180 capsulas | Vitamin D-3 400 IU 180 caps","B0013OUY12","https://www.amazon.com.mx/dp/B0013OUY12?psc=1","https://m.media-amazon.com/images/I/51rE1JCuceL._AC_SY355_.jpg","NOW",181.22,"1,435","1,435",1,"272,060.81","272,055.55",74,190,"MX",24.75,6,4.8,"1,153",4,47,"MAS VITAMINAS","Salud y Cuidado Personal","Standard Size","FBA","9.90 x 5.50 x 7.10 cm",0.07,"N/A","May 13, 2015",,"No",132,"MAS VITAMINAS"
2.,"Raw cbum essential pre workout pre entrenamiento 30 servicios sabor blue raspberry","B0CBCSTHMC","https://www.amazon.com.mx/dp/B0CBCSTHMC?psc=1","https://m.media-amazon.com/images/I/71rbUTpz-sL._AC_SY355_.jpg","RAW",549,992,992,800,"538,156.52","538,154.74",82,290,"MX",137.35,7,4.7,811,7,54,"KIT PRICE - (con Facturación)","Salud y Cuidado Personal","Standard Size","FBA","12.70 x 12.50 x 12.50 cm",0.53,"N/A","Oct 26, 2023",,"No",31,"KIT PRICE - (con Facturación)"
3.,"Nutricost Alpha Lipoic Acid - 600mg Per Serving - 240 Capsules by Nutricost","B01CKLMWYS","https://www.amazon.com.mx/dp/B01CKLMWYS?psc=1","https://m.media-amazon.com/images/I/61I2yXn5M3L._AC_SY355_.jpg","Nutricost",595,406,406,300,"241,633.22","241,633.08",75,"1,024","MX",139.94,3,4.8,"37,186",9,195,"TU TIENDA DE SALUD","Salud y Cuidado Personal","Standard Size","FBA","13.41 x 7.11 x 7.19 cm",0.2,"N/A","Jun 6, 2016",,"No",119,"TU TIENDA DE SALUD"
4.,"Now foods | Boron 3mg 250C","B0095D30HI","https://www.amazon.com.mx/dp/B0095D30HI?psc=1","https://m.media-amazon.com/images/I/71sWa9LpGLL._AC_SY355_.jpg","NOW",379,86,86,50,"32,758.47","32,758.31",26,"3,922","MX",100.01,1,4.6,41,3,5,"SUPERFOODSNUTRITION","Salud y Cuidado Personal","Standard Size","FBA","11.90 x 6.30 x 6.40 cm",0.16,"N/A","Nov 11, 2012",,"No",162,"SUPERFOODSNUTRITION"
5.,"NOW Suplementos, Glicinato de magnesio 100 mg, forma altamente absorbible, 180 tabletas","B07NWMVMT1","https://www.amazon.com.mx/dp/B07NWMVMT1?psc=1","https://m.media-amazon.com/images/I/71H8m-jpSvL._AC_SY355_.jpg","NOW",570,"1,173","1,173",900,"770,224.69","770,224.43",87,372,"MX",137.71,6,4.7,"7,430",8,98,"MAS VITAMINAS","Salud y Cuidado Personal","Standard Size","FBA","11.90 x 6.10 x 6.20 cm",0.25,"N/A","Mar 15, 2019",,"No",86,"MAS VITAMINAS"
6.,"The Practical Guide to Herbal Medicines: Formulas for Health and Wellness",0965453022,"https://www.amazon.com.mx/dp/0965453022?psc=1","https://m.media-amazon.com/images/I/81q0JjG+VCL._SY342_.jpg","Daniel Gagnon",299,0,0,"N/A",0,0,73,"N/A","MX",91.66,1,5,3,1,0,"SUPERFOODSNUTRITION",,"Envelope","FBA","26.67 x 1.27 x 20.32 cm",0.49,"N/A","Dec 21, 2021",,"No",53,"SUPERFOODSNUTRITION"
7.,"Now Supplements | Saccharomyces Boulardii, 5 Billion CFU Probiotic, 120 Veg Capsules","B07YBKYPSX","https://www.amazon.com.mx/dp/B07YBKYPSX?psc=1","https://m.media-amazon.com/images/I/71CT1AeEEoL._AC_SY355_.jpg","NOW",651.32,171,171,100,"112,381.42","112,380.82",84,"1,916","MX",147.22,5,4.7,849,8,6,"MAS VITAMINAS","Salud y Cuidado Personal","Standard Size","FBA","11.20 x 5.80 x 6.00 cm",0.11,"N/A","Oct 21, 2019",,"No",79,"MAS VITAMINAS"
8.,"Life Extension Super Omega-3 Plus: Aceite de Pescado, Krill, Sésamo, Oliva y Astaxantina, 120 cápsulas","B00JPD5ZJ4","https://www.amazon.com.mx/dp/B00JPD5ZJ4?psc=1","https://m.media-amazon.com/images/I/71JPZ2haO1L._AC_SY355_.jpg","Life Extension",673.78,398,398,300,"279,197.25","279,195.46",102,"1,097","MX",151.13,7,4.6,"2,917",10,20,"MAS VITAMINAS","Salud y Cuidado Personal","Standard Size","FBA","13.70 x 7.00 x 7.20 cm",0.29,"N/A","Sep 11, 2014",,"No",140,"MAS VITAMINAS"
9.,"LEBASI/Lactoserum en polvo 500gr/ Alimento natural/ Elaborado en Suiza/ calidad Suiza/ vitaminas / Minerales/ Aminoácidos/ Proteínas/ Disacáridos/ 41 nutrientes naturales/ sin conservadores.","B087SFNVHQ","https://www.amazon.com.mx/dp/B087SFNVHQ?psc=1","https://m.media-amazon.com/images/I/614OjAtWULL._AC_SY355_.jpg","LEBASI",405,533,428,300,"406,754.55","173,441.58",190,796,"MX",111.23,2,4.7,"1,067",7,10,"Comercializadora Nutriplus","Salud y Cuidado Personal","Standard Size","FBA","15.40 x 9.90 x 10.20 cm",0.56,"N/A","Apr 28, 2020",,"No",73,"Comercializadora Nutriplus"
10.,"HABITS BY NOT A FANCY KITCHEN | Proteína Vegetal en Polvo | Sabor Matcha Vainilla 488 g | 21.5 g de Proteína Por Porción | Sin Azúcares Añadidos, Fuente de BCAAs, No GMO - 16 Porciones","B09NS4H8WQ","https://www.amazon.com.mx/dp/B09NS4H8WQ?psc=1","https://m.media-amazon.com/images/I/51NRnvgGbWL._AC_SY355_.jpg","HABITS BY NOT A FANCY KITCHEN",669,"3,922",551,500,"2,530,070.89","368,467.99",184,117,"MX",156.38,2,4.7,596,6,"N/A","HABITS PROTEINS","Alimentos y Bebidas","Standard Size","FBA","17.20 x 13.10 x 13.30 cm",0.61,"N/A","Dec 17, 2021",,"No",53,"HABITS PROTEINS"
